name,description,Duration in minutes,category
jeu de transition avec 3 equipes,"Positionnement
  30/30
3 equipes de 5 joueurs


  Déroulement
  rouge garde la possession
gris chreche la recup et passe a l appuis oppose et fait la transition vertical et garde la possession",30,
Compétition de tirs à trois buts voisins,"Positionnement
  Installez trois buts l'un à côté de l'autre. Chaque but est occupé par un gardien. A 14 - 20 m de chaque but sera formée une queue de joueurs dont chacun a un ballon.




  Déroulement
  Trois joueurs tirent simultanément, dont chacun à un autre des trois buts. Les gardiens essaient d'arrêter les tirs.
Options:
a) Compétition interne entre gardiens. Qui encaisse le moins de buts? Ou compétition personnelle gardien vs. tireur.
b) Après chaque manche, les gardiens échangent leurs places dans les cages (dans le/en sens inverse des aiguilles). L'entraineur déclenche la prochaine manche de tirs par un signe.


  Notes
  - Juste avant la frappe du tireur, le gardien fait un petit bond intermédiaire des deux pieds, déploie les bras, se replie un peu dans l'articulation des genoux et se tient sur la plante des pieds. Les pieds pointent en direction du tireur et sont à un écart conforme à celui de la hanche. Le torse se penche un peu en avant et le ballon sera fixé des yeux.
- Le gardien doit toujours mettre son corps entre but et ballon, quelle que soit la trajectoire du ballon !
- Si le gardien n'arrive pas à se saisir du ballon, il peut le dégager vers le côté
- Lors de sa technique d'arrêt, il ne faut pas que le gardien tombe en arrière, toujours se laisser tomber en avant !
- Pour faire un bond latéral, le gardien exerce un pas bondissant aux côtés. Vers la droite en prenant son élan du pied droit et en se poussant latéralement de la plante de pied. Vers la gauche en prenant son élan du pied gauche, etc...
Option b): Après avoir arrêté un tir, les gardiens doivent immédiatement sprinter à la cage la plus proche, comme ils ne savent pas quand l'entraineur va déclencher le prochain tir.


  Dimensions du terrain
  30x25 m.",15,
Echauffement dans le système linéaire de 4-4-2,"Positionnement
  L'équipe sera placée selon la formation défensive de base 4-4-2 dans la zone de pressing défensif du terrain.


  Déroulement
  Ici, l'ensemble des courses présentées dans les exercices précédents est pratiqué en système linéaire par l'équipe entière. Cela inclut les courses isolées de la défense en ligne à 4 ainsi que les courses concerant toute l'équipe avec leurs options. L'entraineur prédéfinit les courses à effectuer et la zone respective par un mot verbal (p. ex. pressing offensif, pressing au milieu du terrain, pressing sur le défenseur latéral à gauche, etc...).
Les gardiens peuvent y participer pour avoir une impression des courses d'un joueur de champ. Dès que les joueurs arrivent à la position finale, ils ne bougent plus et c'est à l'entraineur de corriger toutes les fautes. Ensuite, l'entraineur définit la démarche suivante.




  Dimensions du terrain
  Terrain intégral",10,
Trois défenseurs vs cinq attaquants,"Positionnement
  Un gardien, trois défenseurs (rouges) et cinq attaquants (bleus, en possession du ballon) seront placés selon la graphique sur un terrain délimité par des cônes.


  Déroulement
  Les attaquants appliquent différentes variantes offensives (enchainements de passes rapides, dédoublement, croisement, passes dans le couloir, dribbles, une-deux, etc.) pour se jouer des défenseurs et finir par tirer au but. Les trois défenseurs veulent les en empêcher en faisant des déplacements tactiquement intelligent et en menant des duels de facon agressive. La règle du hors-jeu sera appliquée.


  Notes
  - Les défenseurs agissent toujours en groupe, il ne faut pas qu'ils s'éloignent trop l'un de l'autre.
- Leur objectif est variable: soit récupérer le ballon, soit pousser l'attaquant en possession du ballon hors la zone de finition et lui bloquer par un double marquage la ligne de passe au but/à ses collègues
- La tâche du défenseur près du ballon consiste en un pressing vers l'attaquant en possession du ballon. Les deux autres protègent la zone arrière et forment ainsi un triangle défensif.




  Dimensions du terrain
  50x40 m.


  Marges des cônes
  10 m",20,
"Jonglage, remise volée + tir au but","Positionnement
  Placez un but est à quelque distance un cône pour le ""rebondeur"" et le cône de départ pour les joueurs. Chaque joueur a son ballon. Le gardien est dans le but.


  Déroulement
  Jonglage, volée-passe + tir au but
Le joueur bleu va vers le ""rebondeur"" en jonglant le ballon 2 à 4 fois. Puis, il lui passe le ballon. Le ""rebondeur"" (rouge) lui remise le ballon de sorte que le bleu puisse faire une reprise volée pour tirer au but.




  Notes
  - Il faut se concentrer en effectuant cet exercice d'une haute exigence à la technique.
- Ne pas toucher au ballon trop haut.
- Un bon timing de passes et beaucoup de précision sont cruciaux.




  Dimensions du terrain
  20 x 20 m.


  Marges des cônes
  10 m.",35,
Centres de la ligne de touche/de but et en provenance de l'interzone,"Positionnement
  5 joueurs, dont 3 centreurs/ailiers (qui ont les ballons) et 2 avant-centres. Le gardien est dans le but. Les centreurs sont à une distance de 25-30 m, les deux avant-centres à 16 m du but.




  Déroulement
  Les trois ailiers centrent vers la surface de rép. à partir de différentes positions. Les deux attaquants croisent leurs courses et essayent ensuite de transformer les centres. Le gardien essaye d'intercepter les centres, sinon il doit arrêter les tirs des attaquants. Les différentes positions des centreurs sont les suivantes:
(1) la ligne de touche
(2) l'interzone
(3) la ligne de sortie de but (centres en retrait)


  Notes
  - Le gardien suit le centreur respectif des yeux.
- Ses pieds sont en position parallele et un peu fléchis dans l'articulation du genou. Le torse est un peu fléchi en avant, les bras sont fléchis dans l'articulation du coude. Il se positionne 2, 3 m devant son but.
- Bien estimer si le ballon peut être intercepté ou s'il faudrait rester sur la ligne pour attendre la réaction du tireur.
- S'il choisit de sortir du but, il doit intercepter/dégager le ballon du poing au point culminant de la trajectoire de ce dernier.
- Ses bras sont tendus et il démarre son mouvement en position centrale devant le but. Le gardien se pousse du sol du pied plus éloigné du ballon et replie l'autre vers le corps (pour se protéger).",30,
Echauffement Passe et suit 4,"Positionnement





  Déroulement
  Au signal, les joueurs 1 et 3 conduisent le ballon jusque dans le carré central.
Le joueur 1 fait une passe de l'intérieur du pied droit vers le joueur 2 et va prendre sa place.
Le joueur 3 fait une passe de l'intérieur du pied droit vers les joueur 4 et va prendre sa place.
On change de sens de rotation : Passe de l'intérieur du pied gauche vers la droite.


  Dimensions du terrain
  Carré central : 4 mètres de coté.",20,
Tirs au but de loin,"Positionnement
  Le gardien est dans le but. Plusieurs tireurs se placent avec les ballons à env. 20 m du but.


  Déroulement
  Les joueurs tirent au but l'un après l'autre. Si le gardien encaisse trois buts consécutifs, il doit faire 10 pompes. Si un tireur rate trois fois de suite, il fait aussi 10 pompes.


  Notes
  - Juste avant la frappe du tireur, le gardien fait un petit bond intermédiaire des deux pieds, déploie les bras, se replie un peu dans l'articulation des genoux et se tient sur la plante des pieds. Les pieds pointent en direction du tireur et sont à un écart conforme à celui de la hanche. Le torse se penche un peu en avant et le ballon sera fixé des yeux.
- Le gardien doit toujours mettre son corps entre but et ballon, quelle que soit la trajectoire du ballon !
- Si le gardien n'arrive pas à se saisir du ballon, il peut le dégager vers le côté
- Lors de sa technique d'arrêt, il ne faut pas que le gardien tombe en arrière, toujours se laisser tomber en avant !
- Pour faire un bond latéral, le gardien exerce un pas bondissant aux côtés. Vers la droite en prenant son élan du pied droit et en se poussant latéralement de la plante de pied. Vers la gauche en prenant son élan du pied gauche, etc...
- La distance des tireurs peut varier selon la classe d'âge.


  Dimensions du terrain
  25x25 m.",25,
2 contre 2 avec retrait défensi,"Positionnement
  Cinq joueurs (y compris un gardien) sont placés sur le terrain selon le dessin. Les deux Bleus A et B sont défenseurs, les deux Rouges attaquants. Le gardien se met dans le but. Au départ, le ballon se trouve chez le joueur rouge C.


  Déroulement
  C ouvre par une passe à D. Dès que C se prépare à sa passe, le défenseur B va vers D pour le harceler. Quand B quitte sa position défensive pour harceler l'adversaire, A avance pour prendre la position de celui-ci.
Commence maintenant un 2 contre 2 avec des courses et scénarios de jeu en mutation permanente jusqu'à ce que les défenseurs parviennent à récupérer le ballon ou bien les attaquants aient tiré au but.


  Notes
  - C'est une simulation qui doit aider à bien apprendre les courses nécessaires. Malgré tout, les duels sont menés en plein engagement physique et seront par conséquent très proches du jeu réel.
- Pratiquez cet exercice à un grand nombre de reprises (pour une automatisation des séquencages).
- Mettez l'accent sur des passes appuyées et précises.
- Le signe de départ pour le mouvement opposé est le moment où le passeur se prépare à sa passe. Les écarts latéraux entre les joueurs sont de 7-12 m. Les deux paires sont placés à une distance de 15 m entre eux.
- Quand l'un des défenseurs protège la zone arrière de son partenaire, il tiens à respecter un écart de 5 m à ce dernier.


  Dimensions du terrain
  Surface de rép. doublée


  Marges des cônes
  En largeur: 32 m.
En longueur: 16 m.",30,
Changement d'aile 2,"Positionnement
  2 buts
20 cônes
Bien que la graphique ne montre qu'un côté, l'exercice sera pratiqué des deux côtés du terrain !
Si vous avez profité de l'exercice ""Changement d'aile 1"" lors de l'échauffement, vous pouvez utiliser le même parcours.


  Déroulement
  1) Gardien fait une passe latérale au défenseur
2) Défenseur contrôle le ballon et court avec lui le long de l'aile
3) A hauteur de la ligne médiane, il fait une passe à l'avant-centre qui va vers le ballon.
4) Celui-ci contrôle le ballon en pivot et fait une passe latérale vers l'aile opposé.
5) L'ailier contrôle le ballon et fait un dribble jusqu'à la ligne de but d'où il fait un centre en retrait à l'avant-centre.
6) Ce dernier tire au but.
7) Le gardien de l'autre équipe relance une contre-attaque directe.


  Notes
  Faites échanger les positions toutes les 5 min.
Après 15 min, changez le sens des attaques (1. dans le sens des aiguilles, 2. en sens inverse).",40,
"Partie principale 2, Type de jeu 1 - Courses de la défense en ligne à 4 avec 8 joueurs","Positionnement
  8 joueurs sont alignés en deux lignes (voir le dessin) dans un camp de terrain. Pour marquer les positions, on peut utiliser des cônes. Joueur E a le ballon.


  Déroulement
  Joueur E ouvre par une passe à A. Celui-ci va vers le ballon, s'arrête en demi-chemin pour arrêter le ballon.
Les autres joueurs de la défense en ligne à 4 bleue se déplacent resp. se replient telles les courses des exercices précédents (course rouge sur le dessin). Les joueurs B, C et D se déplacent de 2-3 m vers le côté pour assure l'espace en profondeur.
Puis, A relance le ballon à E et retourne à la formation de base.
E transfère le ballon à F qui fait une passe à B qui va aussi vers la ballon. S'ensuivent les mêmes courses comme avant. Les joueurs A + C se déplacent latéralement pour assurer la position de B (triangle défensif), D se déplace également.
Après avoir effectué l'ensemble des 11 lignes de passes, échangez les positions. C'est les Bleus qui vont maintenant faire les passes et les Rouges qui pratiquent le déplacement en défense.




  Notes
  - Les courses des défenseurs sont les suivantes: en avant vers le ballon et retour, à gauche/droite comme retrait défensif.
- Lors du déplacement en avant, les joueurs ont tendance à se replier vers l'intérieur. Toutefois, pour atteindre un échelonnement en profondeur, il est important de se replier légèrement en arrière.
- Commencez par étudier les courses doucement avant d'accélérer le rythme.
- Communiquez !
- Faites des passes précises et correctes.


  Dimensions du terrain
  36 x 30 m.


  Marges des cônes
  En longueur: 30 m.
En largeur: 10-12 m.",45,
Techniques de balle/de mouvement du pied/de la main,"Positionnement
  2 gardiens sont l'un en face de l'autre. Ils ont un ballon chacun. Les distances entre eux sont variables de 10 à 30 m et dépendent des capacités de force de frappe/lance et de la classe d'âge.


  Déroulement
  Les deux gardiens se passent des ballons à partir du mouvement. Les actions Passe - Contrôle/gestion du ballon - Passe s'effectuent chez les deux gardiens simultanément. Plus tard, un ballon est passé du pied, l'autre lancé, toujours en alternance.
Ordre de passes/de lances:
A - 1 = Passe à ras de terre, 2=Contrôle/prise du ballon, 3 = Passe retour à ras de terre
B - 1 = Balle à mi-hauteur, 2 = se saisir du ballon, 3 = relancer le ballon
C - 1 = Balle à ras de terre, 2 = Prise du ballon, 3 = ré-rouler le ballon




  Notes
  - Exigez des passes exactes et appuyées.
- Définir plusieurs déroulement optionnels, comme p. ex.: Passe du pied droit - Contrôle du ballon du pied gauche (en une seule touche) - Passe retour du pied droit, etc...
- Les gardiens doivent faire attention à une bonne synchronisation de leurs actions (passes/lances/balles roulées se font toujours simultanément).


  Dimensions du terrain
  Libre.",20,
Conservation en surnombre (Van Gaal),"Positionnement
  40/45x30, divisés en deux. Une équipe à sa zone, conservation en surnombre (8:5)


  Déroulement
  Conservation en surnombre. Défense récupère et transition def-off en transmettant le ballon dans sa zone.


  Notes
  Si une équipe garde trop le ballon, possibilité d'ajouter un défenseur.",25,
Echauffement en losange : passing-décalage-pressing EVO 1,"Positionnement
  Positionnement en losange : 1/4 de l'équipe derrière chaque cône.


  Déroulement
  1. J1 donne à J2 sur la gauche par un intérieur pied droit et sprinte pour se placer à l'arrière de la file située sur sa droite.
2. J2 contrôle intérieur pied gauche, donne intérieur pied droit sur sa gauche pour J3 et ensuite, va se placer à l'arrière de la file située sur sa droite.
3. Et ainsi de suite dans un mouvement continu alliant les qualités suivantes :
a. la précision des contrôles intérieur pied
b. le calibrage des passes au ras-de-sol
c. l'augmentation progressive de la vitesse en fonction de la qualité de l'éxécution.


  Notes
  2 possibilités :
- Exercice d'échauffement
- Exercice de passings
- Exercice de réactivité et de sprints courts


  Dimensions du terrain
  Exercice sur 1/4 de terrain


  Marges des cônes
  4 Cônes en carré distants de 7 à 15 m selon le niveau physique et l'âge de l'équipe.",35,
Exercice de la S10 : Une-deux avec dribble dédoublant,"Positionnement
  Positionnez 6 cônes comme indiqué dans la graphique. Il est recommandé d'occuper les positions extérieures par de grands cônes ou par des lances de drapeau (voir le dessin). Comme ca, les joueurs ne pourront pas sauter par-dessus, mais seront obligés de courir autour d'eux.
Par chaque côté, 2 joueurs se mettront l'un en face de l'autre avec une distance de 10-15m entre eux. L'exercice se prête à 6 à 10 joueurs.


  Déroulement
  Joueur A ouvre par une passe longue à ras de terre ou aérienne à B. Celui-ci fait rebondir le ballon dans la foulée de A. A dribble en direction du cône, dribble aussi autour de B (qui a fait bondir), court avec le ballon vers le grand cône d'en face avant finalement de rejoindre l'autre groupe. Après son dribble de vitesse, joueur A prend la queue au groupe rouge.
Les joueurs D et C (qui fait ici rebondir le ballon) effectuent l'exercice simultanément, tout en empruntant des courses inversées (voir le dessin).
Alternative :
L'exercice peut également être pratiqué en compétition. Pour ce faire, les deux groupes commencent simultanément, comme décrit ci-dessus. Ce groupe, dont le joueur rejoindra le groupe adverse le premier, obtiendra un point. L'équipe avec la plupart de points sera gagnante.


  Notes
  Attention: Les joueurs doivent toujours observer le dribbleur adverse pour ne pas se heurter à celui-ci lors du croisement de courses.
- Le timing de passes et de démarrages est souvent défectueux, puisque les passes ou les départs sont prématurés/retardés.
- Le joueur qui attend le ballon fait toujours un pas en arrière dans un mouvement de saut dynamique avant d'aller vers le ballon.
- Lorsqu'un joueur fait rebondir le ballon, il soulève légèrement le pied.
- Faites des passes précises et appuyées !
- Très souvent, les joueurs courent plus vite qu'ils ne font leur passe.


  Dimensions du terrain
  20 x 20 m.


  Marges des cônes
  Petits cônes:
Marges en longueur: 10-15m.
Marges en largeur: 5m.
Grands cônes:
Marges en longueur: 20m.
Marges en largeur: 20m.
Distance du joueur qui fait rebondir: 7,5 m.",40,
"Echauffement dans le système linéaire de 4-4-2, avec ballons","Positionnement
  L'équipe sera placée selon la formation défensive de base 4-4-2 dans la zone de pressing défensif du terrain.
Installez sur la ligne de touche 3 zones à l'aide des cônes de différentes couleurs (voir le dessin):
Cônes rouges = zone du pressing défensif
Cônes bleus = zone du pressing de milieu
Cônes jaunes = zone du pressing offensif
Faites répartir 10 ballons (ou bien des cônes) sur le terrain comme indiqué sur le dessin.


  Déroulement
  Réalisation des courses concernant toute l'équipe comme dans l'exercice précédent. A la seule exception qu'il y a ici des ballons (ou des cônes) numérotés qui sont distribués sur le terrain. L'entraineur crie un numéro et toute l'équipe se déplace vers le ballon/cône correspondant.
Dès que les joueurs arrivent à la position finale, ils ne bougent plus et c'est à l'entraineur de corriger toutes les fautes. Ensuite, l'entraineur crie un nouveau numéro, etc...


  Dimensions du terrain
  Ganzes Spielfeld",40,
JEUX DE FRAPPE EN SERIE,"Positionnement
  1 GARDIEN
DEUX PASSEUR DE CHAQUE COTE DU BUT
2 GROUPE DE JOUEURS ( 2 EQUIPE)


  Déroulement
  Apres avoir reçu un ballon aérien du passeur qui se trouve sur le coté du but, le joueur reprend le ballon de volé, et va cherché sont ballon en courant pour continuez a alimenté les passeurs


  Notes
  VARIANTES:
1 controle et reprise en demi-volé
2 touches pour mettre le ballon au sol et frappé coté opposé ou croisé


  Dimensions du terrain
  15 m de largeur 20 de profondeur",25,
